Ticker
ATER
BBIG
BEKE
BXRX
DLPN
EDU
FUTU
GME
GOTU
GTS
JD
MARK
PANW
PDD
QFIN
SKYT
SPRT
TAL
TSP
YQ
ZKIN
AFRM
ANY
AQST
ATIF
BGFV
DQ
DSPG
GSAT
IRDM
KPLT
MTL
NGL
SNMP
SYPR
WKEY
ZEV
NU
BTU
BILL
CEMI
DATS
GAMB
MMAT
MRIN
NLTX
NNA
NURO
PBF
PXLW
RRC
SGOC
TTI
WORX
AAL
AAPL
AMC
AMZN
APPS
BA
BAC
CCL
DIS
MSFT
NIO
SNAP
SPX
SPY
ZM
