Ticker
AAL
AAPL
AFRM
AMC
AMZN
ANY
APOP
APPS
AQST
ATER
ATIF
BA
BAC
BBIG
BEKE
BGFV
BILL
BTU
BXRX
CCL
CEMI
CROX
DATS
DIS
DLPN
DQ
DSPG
EDU
FUTU
GAMB
GME
GOTU
GSAT
IRDM
JD
KPLT
MARK
MMAT
MRIN
MSFT
MTL
NGL
NIO
NLTX
NNA
NURO
OPAD
PANW
PBF
PDD
PXLW
QFIN
RRC
SGOC
SKYT
SNAP
SNMP
SPRT
SPY
SYPR
TAL
TSP
TTI
WKEY
WORX
YQ
ZEV
ZKIN
ZM
