Ticker
AFRM
ANY
APOP
ATER
ATIF
BBIG
BEKE
BGFV
BXRX
CEMI
DATS
DLPN
DSPG
FUTU
GAMB
GME
GOTU
GSAT
KPLT
MMAT
MRIN
MTL
NGL
NLTX
NNA
NURO
PANW
PDD
PXLW
SGOC
SKYT
SNMP
SPRT
TSP
TTI
WORX
YQ
ZEV
ZKIN
ZM
