Ticker
ATER
BBIG
BEKE
BXRX
DLPN
EDU
FUTU
GME
GOTU
JD
MARK
PANW
PDD
QFIN
SKYT
SPRT
TAL
TSP
YQ
ZKIN
AFRM
ANY
AQST
ATIF
BGFV
DQ
DSPG
GSAT
IRDM
KPLT
NGL
SNMP
WKEY
ZEV
BTU
BILL
CEMI
DATS
GAMB
MMAT
MRIN
NURO
PBF
PXLW
RRC
SGOC
TTI
WORX
AAL
AAPL
AMC
AMZN
APPS
BA
BAC
CCL
DIS
MSFT
NIO
SNAP
SPY
ZM
